Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Brazil,Serie A,2024,2024-04-13,22:30,Criciuma,Juventude,1,1,D
Brazil,Serie A,2024,2024-04-13,22:30,Internacional,Bahia,2,1,H
Brazil,Serie A,2024,2024-04-14,01:00,Fluminense,Bragantino,2,2,D
Brazil,Serie A,2024,2024-04-14,01:00,Sao Paulo,Fortaleza,1,2,A
Brazil,Serie A,2024,2024-04-14,20:00,Athletico-PR,Cuiaba,4,0,H
Brazil,Serie A,2024,2024-04-14,20:00,Atletico GO,Flamengo RJ,1,2,A
Brazil,Serie A,2024,2024-04-14,20:00,Corinthians,Atletico-MG,0,0,D
Brazil,Serie A,2024,2024-04-14,20:00,Vasco,Gremio,2,1,H
Brazil,Serie A,2024,2024-04-14,21:00,Cruzeiro,Botafogo RJ,3,2,H
Brazil,Serie A,2024,2024-04-14,22:30,Vitoria,Palmeiras,0,1,A
Brazil,Serie A,2024,2024-04-17,01:30,Bahia,Fluminense,2,1,H
Brazil,Serie A,2024,2024-04-17,23:00,Bragantino,Vasco,2,1,H
Brazil,Serie A,2024,2024-04-17,23:00,Gremio,Athletico-PR,2,0,H
Brazil,Serie A,2024,2024-04-18,00:00,Atletico-MG,Criciuma,1,1,D
Brazil,Serie A,2024,2024-04-18,00:00,Fortaleza,Cruzeiro,1,1,D
Brazil,Serie A,2024,2024-04-18,00:00,Juventude,Corinthians,2,0,H
Brazil,Serie A,2024,2024-04-18,00:00,Palmeiras,Internacional,0,1,A
Brazil,Serie A,2024,2024-04-18,01:30,Flamengo RJ,Sao Paulo,2,1,H
Brazil,Serie A,2024,2024-04-19,01:30,Botafogo RJ,Atletico GO,1,0,H
Brazil,Serie A,2024,2024-04-20,20:00,Fluminense,Vasco,2,1,H
Brazil,Serie A,2024,2024-04-20,22:30,Bragantino,Corinthians,1,0,H
Brazil,Serie A,2024,2024-04-20,22:30,Gremio,Cuiaba,1,0,H
Brazil,Serie A,2024,2024-04-21,01:00,Atletico-MG,Cruzeiro,3,0,H
Brazil,Serie A,2024,2024-04-21,20:00,Athletico-PR,Internacional,1,0,H
Brazil,Serie A,2024,2024-04-21,20:00,Palmeiras,Flamengo RJ,0,0,D
Brazil,Serie A,2024,2024-04-21,20:00,Vitoria,Bahia,2,2,D
Brazil,Serie A,2024,2024-04-21,22:30,Atletico GO,Sao Paulo,0,3,A
Brazil,Serie A,2024,2024-04-21,22:30,Botafogo RJ,Juventude,5,1,H
Brazil,Serie A,2024,2024-04-27,20:00,Vasco,Criciuma,0,4,A
Brazil,Serie A,2024,2024-04-27,22:30,Cuiaba,Atletico-MG,0,3,A
Brazil,Serie A,2024,2024-04-28,01:00,Bahia,Gremio,1,0,H
Brazil,Serie A,2024,2024-04-28,15:00,Flamengo RJ,Botafogo RJ,0,2,A
Brazil,Serie A,2024,2024-04-28,20:00,Corinthians,Fluminense,3,0,H
Brazil,Serie A,2024,2024-04-28,20:00,Cruzeiro,Vitoria,3,1,H
Brazil,Serie A,2024,2024-04-28,22:30,Fortaleza,Bragantino,1,1,D
Brazil,Serie A,2024,2024-04-28,22:30,Juventude,Athletico-PR,1,1,D
Brazil,Serie A,2024,2024-04-29,00:00,Internacional,Atletico GO,1,1,D
Brazil,Serie A,2024,2024-04-30,00:00,Sao Paulo,Palmeiras,0,0,D
Brazil,Serie A,2024,2024-05-04,20:00,Fluminense,Atletico-MG,2,2,D
Brazil,Serie A,2024,2024-05-04,22:30,Bragantino,Flamengo RJ,1,1,D
Brazil,Serie A,2024,2024-05-05,01:00,Corinthians,Fortaleza,0,0,D
Brazil,Serie A,2024,2024-05-05,20:00,Athletico-PR,Vasco,1,0,H
Brazil,Serie A,2024,2024-05-05,20:00,Vitoria,Sao Paulo,1,3,A
Brazil,Serie A,2024,2024-05-05,22:30,Botafogo RJ,Bahia,1,2,A
Brazil,Serie A,2024,2024-05-05,22:30,Cuiaba,Palmeiras,0,2,A
Brazil,Serie A,2024,2024-05-11,20:00,Flamengo RJ,Corinthians,2,0,H
Brazil,Serie A,2024,2024-05-12,20:00,Atletico GO,Cruzeiro,0,1,A
Brazil,Serie A,2024,2024-05-12,20:00,Fortaleza,Botafogo RJ,1,1,D
Brazil,Serie A,2024,2024-05-12,20:00,Palmeiras,Athletico-PR,0,2,A
Brazil,Serie A,2024,2024-05-12,22:30,Bahia,Bragantino,1,0,H
Brazil,Serie A,2024,2024-05-12,22:30,Vasco,Vitoria,2,1,H
Brazil,Serie A,2024,2024-05-14,00:00,Sao Paulo,Fluminense,2,1,H
Brazil,Serie A,2024,2024-06-01,20:00,Gremio,Bragantino,0,2,A
Brazil,Serie A,2024,2024-06-01,20:00,Vitoria,Atletico GO,0,2,A
Brazil,Serie A,2024,2024-06-01,22:30,Cuiaba,Internacional,0,1,A
Brazil,Serie A,2024,2024-06-01,22:30,Fluminense,Juventude,1,1,D
Brazil,Serie A,2024,2024-06-02,01:00,Corinthians,Botafogo RJ,0,1,A
Brazil,Serie A,2024,2024-06-02,20:00,Atletico-MG,Bahia,1,1,D
Brazil,Serie A,2024,2024-06-02,20:00,Criciuma,Palmeiras,1,2,A
Brazil,Serie A,2024,2024-06-02,20:00,Vasco,Flamengo RJ,1,6,A
Brazil,Serie A,2024,2024-06-02,22:30,Fortaleza,Athletico-PR,1,0,H
Brazil,Serie A,2024,2024-06-02,22:30,Sao Paulo,Cruzeiro,2,0,H
Brazil,Serie A,2024,2024-06-05,23:00,Juventude,Atletico GO,1,0,H
Brazil,Serie A,2024,2024-06-06,00:00,Cuiaba,Vitoria,0,0,D
Brazil,Serie A,2024,2024-06-09,20:00,Criciuma,Cuiaba,2,5,A
Brazil,Serie A,2024,2024-06-11,23:00,Atletico GO,Corinthians,2,2,D
Brazil,Serie A,2024,2024-06-11,23:00,Juventude,Vitoria,1,1,D
Brazil,Serie A,2024,2024-06-12,00:00,Botafogo RJ,Fluminense,1,0,H
Brazil,Serie A,2024,2024-06-12,01:30,Bragantino,Atletico-MG,1,2,A
Brazil,Serie A,2024,2024-06-13,23:00,Cruzeiro,Cuiaba,2,1,H
Brazil,Serie A,2024,2024-06-14,00:00,Athletico-PR,Criciuma,3,1,H
Brazil,Serie A,2024,2024-06-14,00:00,Flamengo RJ,Gremio,2,1,H
Brazil,Serie A,2024,2024-06-14,00:00,Internacional,Sao Paulo,0,0,D
Brazil,Serie A,2024,2024-06-14,01:30,Bahia,Fortaleza,1,0,H
Brazil,Serie A,2024,2024-06-14,01:30,Palmeiras,Vasco,2,0,H
Brazil,Serie A,2024,2024-06-15,22:30,Bragantino,Juventude,2,1,H
Brazil,Serie A,2024,2024-06-16,01:00,Fluminense,Atletico GO,1,2,A
Brazil,Serie A,2024,2024-06-16,20:00,Athletico-PR,Flamengo RJ,1,1,D
Brazil,Serie A,2024,2024-06-16,20:00,Corinthians,Sao Paulo,2,2,D
Brazil,Serie A,2024,2024-06-16,20:00,Vitoria,Internacional,2,1,H
Brazil,Serie A,2024,2024-06-16,22:30,Criciuma,Bahia,2,2,D
Brazil,Serie A,2024,2024-06-16,22:30,Cuiaba,Fortaleza,5,0,H
Brazil,Serie A,2024,2024-06-16,22:30,Gremio,Botafogo RJ,1,2,A
Brazil,Serie A,2024,2024-06-16,22:30,Vasco,Cruzeiro,0,0,D
Brazil,Serie A,2024,2024-06-18,00:30,Atletico-MG,Palmeiras,0,4,A
Brazil,Serie A,2024,2024-06-19,23:00,Atletico GO,Criciuma,1,2,A
Brazil,Serie A,2024,2024-06-19,23:00,Botafogo RJ,Athletico-PR,1,1,D
Brazil,Serie A,2024,2024-06-20,00:00,Fortaleza,Gremio,1,0,H
Brazil,Serie A,2024,2024-06-20,00:00,Juventude,Vasco,2,0,H
Brazil,Serie A,2024,2024-06-20,00:00,Sao Paulo,Cuiaba,0,1,A
